Date,Open,High,Low,Close,Volume,Adj Close
2016-09-08,778.590027,780.349976,773.580017,775.320007,1270300,775.320007
2016-09-07,780.00,782.72998,776.200012,780.349976,893700,780.349976
2016-09-06,773.450012,782.00,771.00,780.080017,1442800,780.080017
2016-09-02,773.01001,773.919983,768.409973,771.460022,1072700,771.460022
2016-09-01,769.25,771.02002,764.299988,768.780029,925100,768.780029
2016-08-31,767.01001,769.090027,765.380005,767.049988,1248600,767.049988
2016-08-30,769.330017,774.466003,766.840027,769.090027,1130000,769.090027
2016-08-29,768.73999,774.98999,766.61499,772.150024,847600,772.150024
2016-08-26,769.00,776.080017,765.849976,769.539978,1166700,769.539978
2016-08-25,767.00,771.890015,763.184998,769.409973,926900,769.409973
2016-08-24,770.580017,774.50,767.070007,769.640015,1072000,769.640015
2016-08-23,775.47998,776.440002,771.784973,772.080017,928200,772.080017
2016-08-22,773.27002,774.539978,770.049988,772.150024,951400,772.150024
2016-08-19,775.00,777.099976,773.130005,775.419983,861500,775.419983
2016-08-18,780.01001,782.859985,777.00,777.50,719400,777.50
2016-08-17,777.320007,780.809998,773.530029,779.909973,924200,779.909973
2016-08-16,780.299988,780.97998,773.44397,777.140015,1028000,777.140015
2016-08-15,783.75,787.48999,780.109985,782.440002,938200,782.440002
2016-08-12,781.50,783.39502,780.400024,783.219971,740500,783.219971
2016-08-11,785.00,789.75,782.969971,784.849976,975100,784.849976
2016-08-10,783.75,786.812012,782.778015,784.679993,786400,784.679993
2016-08-09,781.099976,788.940002,780.570007,784.26001,1318900,784.26001
2016-08-08,782.00,782.630005,778.091003,781.76001,1107900,781.76001
2016-08-05,773.780029,783.039978,772.340027,782.219971,1801200,782.219971
2016-08-04,772.219971,774.070007,768.794983,771.609985,1140300,771.609985
2016-08-03,767.179993,773.210022,766.820007,773.179993,1287400,773.179993
2016-08-02,768.690002,775.840027,767.849976,771.070007,1784500,771.070007
2016-08-01,761.090027,780.429993,761.090027,772.880005,2700500,772.880005
