Date,Open,High,Low,Close,Volume,Adj Close
2016-09-08,660.40,661.50,654.95,655.70,100,655.70
2016-09-07,658.05,661.00,656.90,657.00,200,657.00
2016-09-06,661.45,662.85,659.50,659.50,500,659.50
2016-09-05,646.25,656.50,644.85,656.50,200,656.50
2016-09-02,641.60,642.45,632.35,637.05,1200,637.05
2016-09-01,633.70,640.00,633.70,640.00,1200,640.00
2016-08-31,652.25,660.00,646.85,660.00,1400,660.00
2016-08-30,655.50,659.75,655.50,657.50,1500,657.50
2016-08-29,648.50,652.00,648.45,652.00,300,652.00
2016-08-26,640.00,648.55,636.25,648.00,1000,648.00
2016-08-25,647.10,649.20,641.15,648.30,1000,648.30
2016-08-24,649.80,652.55,639.75,648.50,700,648.50
2016-08-23,662.00,663.60,659.45,661.40,500,661.40
2016-08-22,655.00,655.00,650.80,650.80,400,650.80
2016-08-19,657.15,666.50,655.65,666.50,1500,666.50
2016-08-18,649.20,650.90,647.00,650.00,1000,650.00
2016-08-17,623.55,624.80,619.20,621.75,500,621.75
2016-08-16,636.45,636.80,631.00,631.00,500,631.00
2016-08-15,625.00,634.85,624.00,634.85,600,634.85
2016-08-12,627.60,630.00,619.95,630.00,500,630.00
2016-08-11,631.55,635.00,630.90,635.00,500,635.00
2016-08-10,628.50,629.25,623.95,625.35,200,625.35
2016-08-09,636.70,638.00,635.20,638.00,300,638.00
2016-08-08,636.40,637.05,633.90,633.90,400,633.90
2016-08-05,628.60,638.55,627.95,638.55,1000,638.55
2016-08-04,610.20,614.20,609.00,614.20,300,614.20
2016-08-03,603.20,603.85,595.50,599.05,3600,599.05
2016-08-02,620.90,621.30,616.85,616.85,1900,616.85
2016-08-01,628.00,629.25,620.85,620.85,1000,620.85
